variant,model,run,n,acc,n_wrong
logic1,qwen3.7-max,1,179,0.9385,11
logic1,qwen3.7-max,2,179,0.9218,14
logic1,qwen3.7-max,3,179,0.933,12
logic1,llama-3.3-70b-versatile,1,179,0.5978,72
logic1,llama-3.3-70b-versatile,2,179,0.5922,73
logic1,llama-3.3-70b-versatile,3,179,0.581,75
logic2,qwen3.7-max,1,179,0.8939,19
logic2,qwen3.7-max,2,179,0.8939,19
logic2,qwen3.7-max,3,179,0.8994,18
logic2,llama-3.3-70b-versatile,1,179,0.514,87
logic2,llama-3.3-70b-versatile,2,179,0.5084,88
logic2,llama-3.3-70b-versatile,3,179,0.514,87
reference1,qwen3.7-max,1,179,0.8603,25
reference1,qwen3.7-max,2,179,0.8436,28
reference1,qwen3.7-max,3,179,0.8547,26
reference1,llama-3.3-70b-versatile,1,179,0.3128,123
reference1,llama-3.3-70b-versatile,2,179,0.2961,126
reference1,llama-3.3-70b-versatile,3,179,0.2905,127
